stack,rec,layer,concept_set,concept,method,n_proteins,pos_domains,pos_residues,precision,precision_lo,precision_hi,recall,recall_lo,recall_hi,f1,f1_lo,f1_hi,f1_se,f1_boot_mean,f1_bias,n_boot,boot_seed
pairformer,1,6,secondary,secondary_structure:helix,sae,250,3202,38043,0.86387,0.84993,0.87762,0.7461,0.72896,0.76325,0.80067,0.78735,0.81343,0.00676,0.80067,1e-05,2000,0
pairformer,1,6,secondary,secondary_structure:helix,neuron,250,3202,38043,0.68546,0.6576,0.71282,0.8476,0.8336,0.86141,0.75795,0.73898,0.77614,0.00945,0.75769,0.00026,2000,0
pairformer,1,6,secondary,secondary_structure:helix,probe_raw,250,3202,38043,0.73826,0.721,0.75561,0.97783,0.97151,0.98332,0.84132,0.82958,0.85279,0.00588,0.84126,5e-05,2000,0
pairformer,1,6,secondary,secondary_structure:strand,sae,250,3429,12259,0.48597,0.45799,0.51127,0.45903,0.43007,0.48959,0.47211,0.45024,0.49338,0.01107,0.47165,0.00046,2000,0
pairformer,1,6,secondary,secondary_structure:strand,neuron,250,3429,12259,0.56234,0.52732,0.59237,0.49315,0.44819,0.53761,0.52548,0.49247,0.55495,0.01597,0.52528,0.00019,2000,0
pairformer,1,6,secondary,secondary_structure:strand,probe_raw,250,3429,12259,0.8751,0.86371,0.88567,0.74861,0.7293,0.76791,0.80693,0.79414,0.81903,0.0065,0.80675,0.00018,2000,0
pairformer,1,6,secondary,secondary_structure:coil,sae,250,6561,48809,0.70424,0.68726,0.71967,0.8767,0.86569,0.88819,0.78106,0.76988,0.79185,0.00561,0.78114,-8e-05,2000,0
pairformer,1,6,secondary,secondary_structure:coil,neuron,250,6561,48809,0.80124,0.78926,0.81303,0.71483,0.7029,0.72668,0.75557,0.74694,0.76449,0.0046,0.7557,-0.00013,2000,0
pairformer,1,6,secondary,secondary_structure:coil,probe_raw,250,6561,48809,0.86801,0.85898,0.87664,0.91145,0.90311,0.91994,0.8892,0.88296,0.89542,0.00321,0.88927,-8e-05,2000,0
pairformer,1,6,swissprot,beta_strand,sae,100,365,2103,0.16615,0.10142,0.22874,0.50685,0.40899,0.59308,0.25026,0.16692,0.32207,0.0398,0.24714,0.00312,2000,0
pairformer,1,6,swissprot,beta_strand,neuron,100,365,2103,0.16979,0.10314,0.23687,0.53699,0.46255,0.60898,0.25801,0.17123,0.33216,0.04152,0.25487,0.00314,2000,0
pairformer,1,6,swissprot,beta_strand,probe_raw,100,365,2103,0.15623,0.08752,0.23666,0.60822,0.49794,0.72415,0.2486,0.15173,0.34525,0.05002,0.24768,0.00092,2000,0
