concept_set,annotation_dir,concept,pos_residues,pos_domains,n_proteins_with_concept,set_n_proteins,set_n_residues
swissprot,processed_swissprot,beta_strand,2033,352,23,99,44968
swissprot,processed_swissprot,binding_site:substrate,83,50,15,99,44968
swissprot,processed_swissprot,compositional_bias:basic_and_acidic_residues,506,30,18,99,44968
swissprot,processed_swissprot,compositional_bias:low_complexity,278,16,13,99,44968
swissprot,processed_swissprot,compositional_bias:polar_residues,279,19,12,99,44968
swissprot,processed_swissprot,disulfide_bond,1179,25,12,99,44968
swissprot,processed_swissprot,glycosylation:n-linked_glcnac_asparagine,47,47,13,99,44968
swissprot,processed_swissprot,helix,2810,295,23,99,44968
swissprot,processed_swissprot,modified_residue:phosphoserine,26,25,10,99,44968
swissprot,processed_swissprot,region:disordered,3949,73,39,99,44968
swissprot,processed_swissprot,signal_peptide,480,22,22,99,44968
swissprot,processed_swissprot,turn,275,80,22,99,44968
secondary,processed_swissprot_a5_structure_secondary_n500,secondary_structure:helix,56977,4760,393,393,154299
secondary,processed_swissprot_a5_structure_secondary_n500,secondary_structure:strand,18449,5108,324,393,154299
secondary,processed_swissprot_a5_structure_secondary_n500,secondary_structure:coil,78873,9787,393,393,154299
boltz_secondary,processed_swissprot_a5_boltz_secondary,secondary_structure:helix,98574,7737,485,486,196136
boltz_secondary,processed_swissprot_a5_boltz_secondary,secondary_structure:strand,24706,6982,428,486,196136
boltz_secondary,processed_swissprot_a5_boltz_secondary,secondary_structure:coil,72856,14526,486,486,196136
