stack,rec,layer,concept_set,concept,method,precision,recall,f1,n_proteins
pairformer,1,6,secondary,secondary_structure:helix,sae,0.75649,0.92259,0.83133,60
pairformer,1,6,secondary,secondary_structure:strand,sae,0.47376,0.49326,0.48332,60
pairformer,1,6,secondary,secondary_structure:coil,sae,0.80669,0.71768,0.75958,60
pairformer,1,6,secondary,secondary_structure:helix,neuron,0.74623,0.82995,0.78587,60
pairformer,1,6,secondary,secondary_structure:strand,neuron,0.51608,0.48248,0.49872,60
pairformer,1,6,secondary,secondary_structure:coil,neuron,0.78107,0.72098,0.74982,60
pairformer,1,6,secondary,secondary_structure:helix,probe_raw,0.82219,0.97081,0.89034,60
pairformer,1,6,secondary,secondary_structure:strand,probe_raw,0.82358,0.76415,0.79275,60
pairformer,1,6,secondary,secondary_structure:coil,probe_raw,0.82985,0.93734,0.88032,60
pairformer,1,6,swissprot,beta_strand,sae,0.15559,0.39409,0.22309,60
pairformer,1,6,swissprot,binding_site:substrate,sae,0.06452,0.06061,0.0625,60
pairformer,1,6,swissprot,compositional_bias:basic_and_acidic_residues,sae,0.15668,0.78571,0.26126,60
pairformer,1,6,swissprot,compositional_bias:low_complexity,sae,0.07447,0.83333,0.13672,60
pairformer,1,6,swissprot,compositional_bias:polar_residues,sae,0.03896,0.41667,0.07126,60
pairformer,1,6,swissprot,disulfide_bond,sae,0.15044,1.0,0.26154,60
pairformer,1,6,swissprot,glycosylation:n-linked_glcnac_asparagine,sae,0.01101,0.93939,0.02177,60
pairformer,1,6,swissprot,helix,sae,0.19803,0.5,0.2837,60
pairformer,1,6,swissprot,modified_residue:phosphoserine,sae,0.01416,0.46667,0.02748,60
pairformer,1,6,swissprot,region:disordered,sae,0.65603,0.5641,0.6066,60
pairformer,1,6,swissprot,signal_peptide,sae,0.0922,0.66667,0.16199,60
pairformer,1,6,swissprot,turn,sae,0.03191,0.18367,0.05438,60
pairformer,1,6,swissprot,beta_strand,neuron,0.171,0.33005,0.22528,60
pairformer,1,6,swissprot,binding_site:substrate,neuron,0.06897,0.06061,0.06452,60
pairformer,1,6,swissprot,compositional_bias:basic_and_acidic_residues,neuron,0.14085,0.21429,0.16997,60
pairformer,1,6,swissprot,compositional_bias:low_complexity,neuron,0.17241,0.33333,0.22727,60
pairformer,1,6,swissprot,compositional_bias:polar_residues,neuron,0.15,0.16667,0.15789,60
pairformer,1,6,swissprot,disulfide_bond,neuron,0.17391,0.36364,0.23529,60
pairformer,1,6,swissprot,glycosylation:n-linked_glcnac_asparagine,neuron,0.01964,0.33333,0.0371,60
pairformer,1,6,swissprot,helix,neuron,0.20143,0.48947,0.28541,60
pairformer,1,6,swissprot,modified_residue:phosphoserine,neuron,0.04,0.13333,0.06154,60
pairformer,1,6,swissprot,region:disordered,neuron,0.3622,0.64103,0.46286,60
pairformer,1,6,swissprot,signal_peptide,neuron,0.12381,0.58333,0.20426,60
pairformer,1,6,swissprot,turn,neuron,0.08451,0.10204,0.09245,60
pairformer,1,6,swissprot,beta_strand,probe_raw,0.11687,0.51232,0.19033,60
pairformer,1,6,swissprot,binding_site:substrate,probe_raw,0.03559,0.21212,0.06095,60
pairformer,1,6,swissprot,compositional_bias:basic_and_acidic_residues,probe_raw,0.17376,0.42857,0.24727,60
pairformer,1,6,swissprot,compositional_bias:low_complexity,probe_raw,0.02983,0.83333,0.0576,60
pairformer,1,6,swissprot,compositional_bias:polar_residues,probe_raw,0.10638,0.41667,0.16949,60
pairformer,1,6,swissprot,disulfide_bond,probe_raw,0.19858,0.27273,0.22982,60
pairformer,1,6,swissprot,glycosylation:n-linked_glcnac_asparagine,probe_raw,0.07092,0.60606,0.12698,60
pairformer,1,6,swissprot,helix,probe_raw,0.17837,0.81579,0.29273,60
pairformer,1,6,swissprot,modified_residue:phosphoserine,probe_raw,0.03191,0.6,0.06061,60
pairformer,1,6,swissprot,region:disordered,probe_raw,0.75852,0.89744,0.82215,60
pairformer,1,6,swissprot,signal_peptide,probe_raw,0.39007,0.91667,0.54726,60
pairformer,1,6,swissprot,turn,probe_raw,0.02128,0.08163,0.03376,60
pairformer,1,20,secondary,secondary_structure:helix,sae,0.73672,0.86802,0.797,60
pairformer,1,20,secondary,secondary_structure:strand,sae,0.31915,0.60108,0.41693,60
pairformer,1,20,secondary,secondary_structure:coil,sae,0.64042,0.84433,0.72837,60
pairformer,1,20,secondary,secondary_structure:helix,neuron,0.71121,0.78426,0.74595,60
pairformer,1,20,secondary,secondary_structure:strand,neuron,0.40854,0.66442,0.50597,60
pairformer,1,20,secondary,secondary_structure:coil,neuron,0.7362,0.78628,0.76042,60
pairformer,1,20,secondary,secondary_structure:helix,probe_raw,0.83314,0.97335,0.8978,60
pairformer,1,20,secondary,secondary_structure:strand,probe_raw,0.87537,0.77224,0.82058,60
pairformer,1,20,secondary,secondary_structure:coil,probe_raw,0.83962,0.94195,0.88785,60
pairformer,1,20,swissprot,beta_strand,sae,0.23759,0.25616,0.24652,60
pairformer,1,20,swissprot,binding_site:substrate,sae,0.08333,0.09091,0.08696,60
pairformer,1,20,swissprot,compositional_bias:basic_and_acidic_residues,sae,0.13139,0.35714,0.1921,60
pairformer,1,20,swissprot,compositional_bias:low_complexity,sae,0.33333,0.16667,0.22222,60
pairformer,1,20,swissprot,compositional_bias:polar_residues,sae,0.11207,0.33333,0.16774,60
pairformer,1,20,swissprot,disulfide_bond,sae,0.19811,0.81818,0.31899,60
pairformer,1,20,swissprot,glycosylation:n-linked_glcnac_asparagine,sae,0.04,0.12121,0.06015,60
pairformer,1,20,swissprot,helix,sae,0.18889,0.47895,0.27093,60
pairformer,1,20,swissprot,modified_residue:phosphoserine,sae,0.04167,0.06667,0.05128,60
