stack,rec,layer,concept_set,concept,method,precision,recall,f1,n_proteins
diffusion,199,22,secondary,secondary_structure:helix,sae,0.68028,0.93165,0.78636,49
diffusion,199,22,secondary,secondary_structure:strand,sae,0.47103,0.81924,0.59815,49
diffusion,199,22,secondary,secondary_structure:coil,sae,0.76606,0.80459,0.78485,49
diffusion,199,22,secondary,secondary_structure:helix,neuron,0.65295,0.91976,0.76372,49
diffusion,199,22,secondary,secondary_structure:strand,neuron,0.3801,0.93003,0.53965,49
diffusion,199,22,secondary,secondary_structure:coil,neuron,0.6727,0.87343,0.76003,49
diffusion,199,22,secondary,secondary_structure:helix,probe_raw,0.75811,0.95542,0.84541,49
diffusion,199,22,secondary,secondary_structure:strand,probe_raw,0.84317,0.74344,0.79017,49
diffusion,199,22,secondary,secondary_structure:coil,probe_raw,0.83958,0.93264,0.88367,49
diffusion,199,22,swissprot,beta_strand,sae,0.1603,0.72055,0.26225,100
diffusion,199,22,swissprot,binding_site:substrate,sae,0.0198,0.04,0.02649,100
diffusion,199,22,swissprot,compositional_bias:basic_and_acidic_residues,sae,0.12389,0.2,0.15301,100
diffusion,199,22,swissprot,compositional_bias:low_complexity,sae,0.09237,0.1875,0.12377,100
diffusion,199,22,swissprot,compositional_bias:polar_residues,sae,0.12821,0.10526,0.11561,100
diffusion,199,22,swissprot,disulfide_bond,sae,0.20317,0.12,0.15088,100
diffusion,199,22,swissprot,glycosylation:n-linked_glcnac_asparagine,sae,0.01843,0.08511,0.0303,100
diffusion,199,22,swissprot,helix,sae,0.21305,0.44,0.28709,100
diffusion,199,22,swissprot,modified_residue:phosphoserine,sae,0.00966,0.08,0.01724,100
diffusion,199,22,swissprot,region:disordered,sae,0.41273,0.93151,0.57201,100
diffusion,199,22,swissprot,signal_peptide,sae,0.05843,0.86364,0.10945,100
diffusion,199,22,swissprot,turn,sae,0.01822,0.43902,0.03499,100
diffusion,199,22,swissprot,beta_strand,neuron,0.17553,0.68767,0.27968,100
diffusion,199,22,swissprot,binding_site:substrate,neuron,0.1,0.02,0.03333,100
diffusion,199,22,swissprot,compositional_bias:basic_and_acidic_residues,neuron,0.14823,0.2,0.17027,100
diffusion,199,22,swissprot,compositional_bias:low_complexity,neuron,0.07965,0.375,0.13139,100
diffusion,199,22,swissprot,compositional_bias:polar_residues,neuron,0.09881,0.26316,0.14368,100
diffusion,199,22,swissprot,disulfide_bond,neuron,0.08134,0.48,0.13911,100
diffusion,199,22,swissprot,glycosylation:n-linked_glcnac_asparagine,neuron,0.032,0.08511,0.04651,100
diffusion,199,22,swissprot,helix,neuron,0.22272,0.45333,0.29869,100
diffusion,199,22,swissprot,modified_residue:phosphoserine,neuron,0.01149,0.12,0.02098,100
diffusion,199,22,swissprot,region:disordered,neuron,0.50664,0.71233,0.59213,100
diffusion,199,22,swissprot,signal_peptide,neuron,0.10137,0.27273,0.1478,100
diffusion,199,22,swissprot,turn,neuron,0.01947,0.14634,0.03437,100
diffusion,199,22,swissprot,beta_strand,probe_raw,0.15325,0.50959,0.23563,100
diffusion,199,22,swissprot,binding_site:substrate,probe_raw,0.00608,0.42,0.01199,100
diffusion,199,22,swissprot,compositional_bias:basic_and_acidic_residues,probe_raw,0.13969,0.33333,0.19687,100
diffusion,199,22,swissprot,compositional_bias:low_complexity,probe_raw,0.03262,0.625,0.062,100
diffusion,199,22,swissprot,compositional_bias:polar_residues,probe_raw,0.01757,0.57895,0.0341,100
diffusion,199,22,swissprot,disulfide_bond,probe_raw,0.04812,1.0,0.09181,100
diffusion,199,22,swissprot,glycosylation:n-linked_glcnac_asparagine,probe_raw,0.01991,0.19149,0.03607,100
diffusion,199,22,swissprot,helix,probe_raw,0.16151,0.76333,0.26661,100
diffusion,199,22,swissprot,modified_residue:phosphoserine,probe_raw,0.00399,0.36,0.00789,100
diffusion,199,22,swissprot,region:disordered,probe_raw,0.54562,0.9863,0.70257,100
diffusion,199,22,swissprot,signal_peptide,probe_raw,0.25612,0.68182,0.37237,100
diffusion,199,22,swissprot,turn,probe_raw,0.02325,0.41463,0.04402,100
