series,label,k,mean_d_helix,sem_d_helix,n
probe_helix,Probe helix-add (E1),1,0.0035705785014876804,0.0011197120552477128,34
probe_helix,Probe helix-add (E1),2,0.004661725645378552,0.002053061965418342,34
probe_helix,Probe helix-add (E1),4,0.007370877025499873,0.001768254547172716,34
probe_helix,Probe helix-add (E1),8,0.014849976257482427,0.005315589402770839,34
probe_helix,Probe helix-add (E1),16,0.016438024053135925,0.00548509730178751,34
probe_rand,Probe random-add,1,-0.0012631679549782514,0.0014493997659864447,34
probe_rand,Probe random-add,2,-0.0016538952559602953,0.0029564383265174507,34
probe_rand,Probe random-add,4,-0.0020794206850583714,0.004140253367893937,34
probe_rand,Probe random-add,8,3.44506639817401e-05,0.004432718082983635,34
probe_rand,Probe random-add,16,-0.0016908999040539793,0.004160467633719738,34
sae_helix,SAE helix-add (E5),1,0.0025406731589036925,0.0010102255434860368,34
sae_helix,SAE helix-add (E5),2,0.0030011757939598974,0.0009022333461775903,34
sae_helix,SAE helix-add (E5),4,0.004838720872641223,0.0016527121325266572,34
sae_helix,SAE helix-add (E5),8,0.007723693706914558,0.0025079697215688243,34
sae_helix,SAE helix-add (E5),16,0.011612578670109801,0.004284033165439993,34
sae_rand,SAE random-add,1,-0.0011285934509977437,0.0013826167805390242,34
sae_rand,SAE random-add,2,-0.002227261144693695,0.0020781191971214127,34
sae_rand,SAE random-add,4,-0.0019110172775917552,0.0040012746055406445,34
sae_rand,SAE random-add,8,-0.0013201715465739094,0.004670632773985359,34
sae_rand,SAE random-add,16,0.000111854108091736,0.004244167569160043,34
