protein_a,protein_b,pct_identity
A7Z063,A8K0Z3,0.8747
P28797,P28798,0.6066
Q8IWB7,Q96P53,0.6024
A2SWM2,Q7ZU13,0.5059
P02547,P15331,0.3825
A0R2N3,Q87PH8,0.3651
P11980,Q2RAK2,0.3315
Q6PGK7,Q8NET6,0.3062
Q06ZW3,Q96T68,0.3046
